IcomparisonTask2															
6/29/15	10:11:06 AM														
															
Participant	Participant	Session	Block	Trial	Event	Participant		Pressed Or		Pressed Or	Correct	Error	Reaction		
Group	Name	ID	Name	Name	Name	Response	Key	Released	Key	Released	Response	Code	Time	Trial Answered	compatibility
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 22"	"numberRL (22, 37)"	Button 7			7	Pressed	right; Button 7	C	566		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 6"	"numberRL (6, 17)"	Button 7			7	Pressed	right; Button 7	C	509		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 3"	"numberRL (3, 13)"	Button 7			7	Pressed	right; Button 7	C	502		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 62"	"numberRL (62, 97)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	496		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 4"	"numberRL (4, 14)"	Button 7			7	Pressed	right; Button 7	C	586		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 48"	"numberRL (48, 79)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	687		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 38"	"numberRL (38, 67)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	993		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 26"	"numberRL (26, 42)"	Button 7			7	Pressed	right; Button 7	C	884		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 24"	"numberRL (24, 39)"	Button 7			7	Pressed	right; Button 7	C	813		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 52"	"numberRL (52, 84)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	585		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 58"	"numberRL (58, 92)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	623		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 27"	"numberRL (27, 43)"	Button 7			7	Pressed	right; Button 7	C	643		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 54"	"numberRL (54, 87)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	661		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 44"	"numberRL (44, 74)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	681		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 15"	"numberRL (15, 28)"	Button 7			7	Pressed	right; Button 7	C	490		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 9"	"numberRL (9, 21)"	Button 7			7	Pressed	right; Button 7	C	515		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 33"	"numberRL (33, 61)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	622		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 45"	"numberRL (45, 76)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	609		compatible
