IcomparisonTask2															
6/29/15	10:11:06 AM														
															
Participant	Participant	Session	Block	Trial	Event	Participant		Pressed Or		Pressed Or	Correct	Error	Reaction		
Group	Name	ID	Name	Name	Name	Response	Key	Released	Key	Released	Response	Code	Time	Trial Answered	compatibility
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 64"	"numberLR (64, 99)"	Button 7			7	Pressed	right; Button 7	C	390		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 1"	"numberLR (1, 11)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	420		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 10"	"numberLR (10, 22)"	Button 7			7	Pressed	left; Button 1 (left)	E	353		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 21"	"numberLR (21, 36)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	603		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 29"	"numberLR (29, 46)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	511		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 52"	"numberLR (52, 84)"	Button 7			7	Pressed	right; Button 7	C	503		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 12"	"numberLR (12, 24)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	673		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 4"	"numberLR (4, 14)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	532		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 63"	"numberLR (63, 98)"	Button 7			7	Pressed	right; Button 7	C	427		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 53"	"numberLR (53, 86)"	Button 7			7	Pressed	right; Button 7	C	487		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 44"	"numberLR (44, 74)"	Button 7			7	Pressed	right; Button 7	C	433		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 5"	"numberLR (5, 16)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	447		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 26"	"numberLR (26, 42)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	715		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 35"	"numberLR (35, 63)"	Button 7			7	Pressed	right; Button 7	C	425		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 18"	"numberLR (18, 32)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	469		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 59"	"numberLR (59, 93)"	Button 7			7	Pressed	right; Button 7	C	451		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 3"	"numberLR (3, 13)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	460		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 60"	"numberLR (60, 94)"	Button 7			7	Pressed	right; Button 7	C	550		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 42"	"numberLR (42, 72)"	Button 7			7	Pressed	right; Button 7	C	605		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 36"	"numberLR (36, 64)"	Button 7			7	Pressed	right; Button 7	C	386		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 46"	"numberLR (46, 77)"	Button 7			7	Pressed	right; Button 7	C	416		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 41"	"numberLR (41, 71)"	Button 7			7	Pressed	right; Button 7	C	365		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 19"	"numberLR (19, 33)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	445		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 39"	"numberLR (39, 68)"	Button 7			7	Pressed	right; Button 7	C	455		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 3"	"numberLR (3, 13)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	466		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 36"	"numberLR (36, 64)"	Button 7			7	Pressed	right; Button 7	C	412		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 50"	"numberLR (50, 82)"	Button 7			7	Pressed	right; Button 7	C	440		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 5"	"numberLR (5, 16)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	420		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 22"	"numberLR (22, 37)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	401		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 16"	"numberLR (16, 29)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	481		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 54"	"numberLR (54, 87)"	Button 7			7	Pressed	right; Button 7	C	456		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 15"	"numberLR (15, 28)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	515		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 33"	"numberLR (33, 61)"	Button 7			7	Pressed	right; Button 7	C	462		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 8"	"numberLR (8, 19)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	518		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 63"	"numberLR (63, 98)"	Button 7			7	Pressed	right; Button 7	C	513		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 44"	"numberLR (44, 74)"	Button 7			7	Pressed	right; Button 7	C	439		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 20"	"numberLR (20, 34)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	579		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 26"	"numberLR (26, 42)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	506		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 47"	"numberLR (47, 78)"	Button 7			7	Pressed	right; Button 7	C	466		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 12"	"numberLR (12, 24)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	493		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 14"	"numberLR (14, 27)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	440		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 58"	"numberLR (58, 92)"	Button 7			7	Pressed	right; Button 7	C	498		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 19"	"numberLR (19, 33)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	413		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 18"	"numberLR (18, 32)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	377		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 64"	"numberLR (64, 99)"	Button 7			7	Pressed	right; Button 7	C	423		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 7"	"numberLR (7, 18)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	467		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 42"	"numberLR (42, 72)"	Button 7			7	Pressed	right; Button 7	C	429		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 41"	"numberLR (41, 71)"	Button 7			7	Pressed	right; Button 7	C	489		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 48"	"numberLR (48, 79)"	Button 7			7	Pressed	right; Button 7	C	420		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 39"	"numberLR (39, 68)"	Button 7			7	Pressed	right; Button 7	C	431		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 52"	"numberLR (52, 84)"	Button 7			7	Pressed	right; Button 7	C	492		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 35"	"numberLR (35, 63)"	Button 7			7	Pressed	right; Button 7	C	390		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 13"	"numberLR (13, 26)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	406		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 17"	"numberLR (17, 31)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	578		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 21"	"numberLR (21, 36)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	503		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 10"	"numberLR (10, 22)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	482		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 40"	"numberLR (40, 69)"	Button 7			7	Pressed	right; Button 7	C	522		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 62"	"numberLR (62, 97)"	Button 7			7	Pressed	right; Button 7	C	450		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 59"	"numberLR (59, 93)"	Button 7			7	Pressed	right; Button 7	C	496		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 31"	"numberLR (31, 48)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	712		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 51"	"numberLR (51, 83)"	Button 7			7	Pressed	right; Button 7	C	519		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 6"	"numberLR (6, 17)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	464		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 24"	"numberLR (24, 39)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	619		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 43"	"numberLR (43, 73)"	Button 7			7	Pressed	right; Button 7	C	816		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 56"	"numberLR (56, 89)"	Button 7			7	Pressed	right; Button 7	C	586		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 38"	"numberLR (38, 67)"	Button 7			7	Pressed	right; Button 7	C	544		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 2"	"numberLR (2, 12)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	519		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 25"	"numberLR (25, 41)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	513		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 55"	"numberLR (55, 88)"	Button 7			7	Pressed	right; Button 7	C	505		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 49"	"numberLR (49, 81)"	Button 7			7	Pressed	right; Button 7	C	562		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 46"	"numberLR (46, 77)"	Button 7			7	Pressed	right; Button 7	C	488		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 30"	"numberLR (30, 47)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	432		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 9"	"numberLR (9, 21)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	510		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 53"	"numberLR (53, 86)"	Button 7			7	Pressed	right; Button 7	C	390		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 34"	"numberLR (34, 62)"	Button 7			7	Pressed	right; Button 7	C	564		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 11"	"numberLR (11, 23)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	411		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 32"	"numberLR (32, 49)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	567		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 23"	"numberLR (23, 38)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	480		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 61"	"numberLR (61, 96)"	Button 7			7	Pressed	right; Button 7	C	503		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 29"	"numberLR (29, 46)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	514		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 27"	"numberLR (27, 43)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	489		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 28"	"numberLR (28, 44)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	531		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 57"	"numberLR (57, 91)"	Button 7			7	Pressed	right; Button 7	C	395		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 37"	"numberLR (37, 66)"	Button 7			7	Pressed	right; Button 7	C	361		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 60"	"numberLR (60, 94)"	Button 7			7	Pressed	right; Button 7	C	455		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 1"	"numberLR (1, 11)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	434		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 4"	"numberLR (4, 14)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	447		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 45"	"numberLR (45, 76)"	Button 7			7	Pressed	right; Button 7	C	522		compatible
